start,stop,ID
0,37,0
37,40,4
40,51,0
51,52,4
52,53,0
53,54,5
54,55,6
55,56,0
56,58,5
58,65,0
65,66,3
66,67,0
67,71,6
71,72,0
72,73,5
73,74,0
74,78,5
78,79,6
79,80,5
80,81,4
81,82,6
82,84,4
84,88,6
88,91,4
91,92,0
92,93,4
93,94,0
94,100,3
100,101,4
101,102,3
102,103,6
103,104,3
104,105,6
105,107,0
107,108,3
108,115,0
115,116,4
116,117,0
117,120,4
120,121,0
121,122,4
122,123,0
123,127,4
127,129,0
129,130,3
130,132,5
132,136,8
136,150,5
150,159,9
159,161,16
161,163,18
163,166,9
166,167,14
167,168,16
168,169,14
169,170,9
170,171,14
171,172,13
172,176,2
176,179,14
179,183,2
183,188,16
188,206,2
206,211,7
211,212,10
212,223,3
223,235,14
235,236,0
236,237,5
237,238,0
238,247,5
247,303,0
303,305,6
305,309,1
309,310,4
310,316,0
316,319,1
319,322,6
322,325,1
325,352,6
352,360,8
360,371,0
371,376,4
376,381,0
381,385,4
385,387,3
387,389,5
389,390,3
390,391,5
391,392,4
392,393,0
393,394,3
394,398,0
398,399,3
399,415,0
415,419,4
419,428,0
428,438,3
438,441,0
441,448,3
448,454,13
454,475,4
475,492,3
492,692,0
692,694,12
694,695,11
695,701,12
701,712,11
712,713,13
713,729,11
729,732,12
732,747,3
747,781,0
781,786,5
786,787,0
787,800,18
800,803,19
803,817,18
817,822,19
822,825,18
825,841,5
841,897,0
897,901,11
901,904,3
904,916,11
916,917,13
917,931,11
931,932,6
932,936,4
936,937,3
937,939,4
939,952,3
952,1124,0
1124,1158,12
1158,1178,7
1178,1181,10
1181,1191,9
1191,1196,14
1196,1197,12
1197,1200,3
1200,1207,4
1207,1223,3
1223,1255,0
1255,1259,5
1259,1268,3
1268,1281,16
1281,1284,13
1284,1289,16
1289,1290,13
1290,1291,16
1291,1298,13
1298,1306,5
1306,1309,3
1309,1310,5
1310,1311,3
1311,1313,5
1313,1351,0
1351,1362,3
1362,1365,0
1365,1368,13
1368,1386,4
1386,1410,3
1410,1412,13
1412,1433,4
1433,1436,11
1436,1437,4
1437,1454,3
1454,1499,0
1499,1511,5
1511,1513,0
1513,1518,18
1518,1522,9
1522,1528,19
1528,1529,18
1529,1530,19
1530,1533,18
1533,1534,19
1534,1540,18
1540,1542,19
1542,1543,18
1543,1544,19
1544,1545,18
1545,1546,4
1546,1547,11
1547,1548,4
1548,1549,19
1549,1550,4
1550,1559,5
1559,1560,3
1560,1564,5
1564,1597,0
1597,1652,15
1652,1662,5
1662,1823,0
1823,1828,11
1828,1831,1
1831,1839,11
1839,1842,13
1842,1843,11
1843,1844,13
1844,1851,11
1851,1857,7
1857,1858,12
1858,1863,14
1863,1864,12
1864,1875,14
1875,1877,1
1877,1885,14
1885,1888,7
1888,1890,8
1890,1891,5
1891,1892,16
1892,1893,3
1893,1894,16
1894,1896,12
1896,1901,8
1901,1904,11
1904,1906,6
1906,1908,11
1908,1920,4
1920,1930,3
1930,1932,0
1932,1934,3
1934,2052,0
2052,2053,13
2053,2056,0
2056,2069,4
2069,2093,8
2093,2095,6
2095,2107,4
2107,2117,3
2117,2118,5
2118,2126,3
2126,2128,6
2128,2133,4
2133,2210,0
2210,2212,4
2212,2242,0
2242,2253,4
2253,2254,0
2254,2256,4
2256,2268,5
2268,2270,3
2270,2276,9
2276,2277,4
2277,2278,9
2278,2279,4
2279,2280,9
2280,2294,4
2294,2295,11
2295,2299,3
2299,2300,5
2300,2301,3
2301,2302,4
2302,2307,3
2307,2308,0
2308,2309,3
2309,2366,0
2366,2375,3
2375,2377,13
2377,2379,10
2379,2391,13
2391,2398,11
2398,2402,4
2402,2404,3
2404,2406,10
2406,2418,3
2418,2475,0
2475,2489,3
2489,2498,13
2498,2500,4
2500,2502,13
2502,2508,4
2508,2510,11
2510,2515,4
2515,2516,11
2516,2533,3
2533,2702,0
2702,2714,16
2714,2718,15
2718,2757,17
2757,2771,5
2771,2772,18
2772,2776,0
2776,2778,6
2778,2829,0
2829,2841,9
2841,2842,13
2842,2843,9
2843,2844,13
2844,2845,9
2845,2848,13
2848,2849,9
2849,2852,13
2852,2853,9
2853,2855,13
2855,2859,14
2859,2860,3
2860,2863,14
2863,2864,3
2864,2866,14
2866,2878,3
2878,2929,0
2929,2930,5
2930,2931,0
2931,2940,5
2940,2941,0
2941,2943,16
2943,2947,0
2947,2950,9
2950,2954,15
2954,2960,4
2960,2961,15
2961,2962,4
2962,2963,1
2963,2987,5
2987,2988,2
2988,2993,9
2993,2994,13
2994,3000,9
3000,3003,13
3003,3006,11
3006,3008,13
3008,3012,11
3012,3014,8
3014,3026,5
3026,3047,0
