start,stop,ID
0,48,0
48,52,3
52,58,0
58,59,11
59,60,0
60,61,11
61,62,0
62,67,11
67,68,13
68,71,11
71,73,13
73,74,4
74,76,13
76,77,11
77,82,13
82,83,11
83,85,13
85,90,11
90,91,4
91,95,0
95,96,4
96,98,0
98,100,4
100,110,3
110,158,0
158,198,14
198,209,9
209,215,3
215,355,0
355,359,12
359,366,1
366,376,11
376,378,7
378,385,12
385,386,9
386,387,12
387,388,9
388,391,12
391,392,14
392,394,12
394,399,1
399,400,9
400,406,1
406,407,7
407,408,3
408,410,7
410,411,2
411,413,5
413,414,7
414,415,2
415,416,10
416,417,5
417,418,10
418,423,5
423,424,4
424,426,6
426,427,4
427,433,6
433,482,0
482,483,16
483,485,0
485,486,5
486,490,3
490,494,5
494,531,16
531,532,3
532,539,16
539,540,3
540,542,16
542,544,3
544,545,16
545,548,3
548,551,8
551,655,0
655,661,16
661,670,15
670,711,17
711,715,16
715,717,15
717,718,16
718,720,15
720,721,5
721,902,0
902,903,5
903,904,0
904,905,5
905,916,0
916,917,18
917,918,9
918,919,18
919,920,9
920,921,18
921,926,9
926,931,19
931,932,9
932,939,19
939,941,18
941,945,19
945,947,18
947,948,19
948,953,18
953,967,5
967,968,18
968,970,5
970,976,18
976,977,19
977,978,18
978,980,19
980,982,0
982,986,18
986,987,0
987,988,18
988,989,5
989,990,18
990,996,0
996,997,5
997,1028,0
1028,1037,3
1037,1039,0
1039,1040,9
1040,1041,0
1041,1044,9
1044,1045,13
1045,1058,4
1058,1060,0
1060,1063,9
1063,1067,3
1067,1068,5
1068,1083,3
1083,1092,0
1092,1111,4
1111,1113,0
1113,1114,3
1114,1115,0
1115,1126,3
1126,1183,0
1183,1186,3
1186,1187,0
1187,1188,3
1188,1189,0
1189,1195,3
1195,1207,13
1207,1208,4
1208,1209,13
1209,1210,4
1210,1218,13
1218,1219,11
1219,1229,4
1229,1241,3
1241,1293,0
1293,1306,5
1306,1316,18
1316,1317,19
1317,1318,18
1318,1323,19
1323,1334,18
1334,1338,19
1338,1346,18
1346,1349,5
1349,1350,0
1350,1351,5
1351,1428,0
1428,1440,3
1440,1443,13
1443,1468,4
1468,1480,3
1480,1546,0
1546,1557,5
1557,1559,0
1559,1562,18
1562,1563,19
1563,1564,18
1564,1583,19
1583,1586,18
1586,1592,19
1592,1595,18
1595,1604,5
1604,1651,0
1651,1658,5
1658,1661,0
1661,1668,18
1668,1669,14
1669,1670,16
1670,1673,14
1673,1674,2
1674,1675,14
1675,1676,2
1676,1683,1
1683,1713,2
1713,1714,18
1714,1719,10
1719,1720,9
1720,1725,19
1725,1726,18
1726,1727,19
1727,1730,14
1730,1731,19
1731,1732,18
1732,1734,19
1734,1735,0
1735,1736,18
1736,1737,0
1737,1745,18
1745,1746,5
1746,1747,18
1747,1754,5
1754,1907,0
1907,1909,1
1909,1910,12
1910,1911,1
1911,1912,12
1912,1914,11
1914,1916,0
1916,1922,11
1922,1934,1
1934,1938,12
1938,1940,14
1940,1941,12
1941,1945,7
1945,1948,9
1948,1949,2
1949,1950,1
1950,1951,7
1951,1952,1
1952,1953,6
1953,1955,1
1955,1964,6
1964,1970,0
1970,1977,5
1977,1978,3
1978,1982,6
1982,1983,4
1983,2043,0
2043,2045,12
2045,2046,0
2046,2047,1
2047,2048,0
2048,2053,11
2053,2059,2
2059,2070,6
2070,2074,7
2074,2075,8
2075,2096,7
2096,2109,9
2109,2114,3
2114,2128,4
2128,2136,3
2136,2189,0
2189,2190,11
2190,2197,1
2197,2200,6
2200,2201,0
2201,2202,5
2202,2203,6
2203,2204,5
2204,2225,8
2225,2226,0
2226,2244,4
2244,2248,0
2248,2252,3
2252,2306,0
2306,2307,12
2307,2308,0
2308,2309,12
2309,2310,0
2310,2311,12
2311,2312,0
2312,2313,12
2313,2314,9
2314,2315,12
2315,2317,10
2317,2318,13
2318,2319,10
2319,2320,13
2320,2329,10
2329,2330,13
2330,2331,10
2331,2332,13
2332,2333,10
2333,2334,13
2334,2335,10
2335,2336,13
2336,2347,10
2347,2349,0
2349,2353,4
2353,2365,3
2365,2399,0
2399,2400,3
2400,2408,0
2408,2434,9
2434,2436,13
2436,2450,9
2450,2459,3
2459,2648,0
2648,2660,12
2660,2661,11
2661,2664,12
2664,2665,11
2665,2666,12
2666,2669,11
2669,2671,12
2671,2672,11
2672,2675,12
2675,2681,11
2681,2684,12
2684,2686,11
2686,2691,0
2691,2695,4
2695,2696,3
2696,2697,0
2697,2701,3
2701,2702,0
2702,2705,3
2705,2728,0
2728,2729,16
2729,2730,0
2730,2731,16
2731,2743,15
2743,2758,17
2758,2759,15
2759,2766,17
2766,2767,15
2767,2773,17
2773,2775,15
2775,2776,17
2776,2780,15
2780,2786,5
2786,2787,15
2787,2791,5
2791,2839,0
2839,2840,5
2840,2841,15
2841,2842,5
2842,2902,15
2902,2903,17
2903,2904,16
2904,2907,15
2907,2913,16
2913,2914,15
2914,2915,16
2915,2920,15
2920,2921,16
2921,2924,15
2924,2936,16
2936,2948,15
2948,2954,17
2954,2959,15
2959,2963,17
2963,2984,15
2984,2986,8
2986,2987,15
2987,3002,5
3002,3004,14
3004,3006,0
3006,3009,14
3009,3019,9
3019,3020,14
3020,3025,9
3025,3028,14
3028,3035,9
3035,3036,18
3036,3037,9
3037,3038,19
