start,stop,ID
0,65,0
65,66,3
66,67,0
67,68,3
68,69,0
69,70,3
70,76,0
76,79,4
79,81,1
81,82,4
82,84,1
84,88,4
88,89,6
89,94,4
94,96,5
96,115,8
115,116,3
116,130,4
130,135,0
135,136,4
136,138,3
138,295,0
295,297,4
297,305,1
305,308,6
308,309,5
309,310,6
310,311,5
311,334,6
334,349,4
349,350,8
350,351,3
351,366,8
366,369,5
369,370,8
370,373,5
373,375,0
375,378,4
378,410,0
410,411,3
411,412,0
412,413,3
413,414,0
414,415,3
415,416,13
416,417,3
417,418,13
418,419,3
419,420,11
420,421,3
421,425,12
425,426,11
426,427,13
427,428,11
428,429,13
429,430,11
430,437,13
437,438,11
438,439,13
439,440,11
440,443,13
443,444,11
444,445,13
445,446,11
446,447,4
447,448,11
448,449,4
449,450,10
450,457,4
457,468,3
468,469,0
469,470,3
470,614,0
614,617,11
617,625,12
625,626,11
626,627,12
627,632,11
632,633,13
633,634,0
634,638,11
638,639,12
639,640,11
640,644,12
644,645,10
645,646,11
646,653,12
653,673,7
673,678,9
678,687,14
687,688,3
688,704,4
704,715,3
715,744,0
744,751,5
751,796,15
796,799,5
799,829,0
829,842,5
842,856,18
856,857,19
857,858,18
858,860,19
860,880,18
880,894,5
894,941,0
941,962,14
962,965,9
965,968,14
968,969,1
969,971,14
971,972,12
972,973,1
973,977,9
977,987,14
987,988,5
988,989,3
989,994,5
994,1047,0
1047,1064,3
1064,1065,13
1065,1095,4
1095,1109,3
1109,1230,0
1230,1235,3
1235,1236,11
1236,1237,3
1237,1238,12
1238,1239,3
1239,1240,12
1240,1241,3
1241,1242,12
1242,1247,13
1247,1248,11
1248,1249,13
1249,1250,11
1250,1257,13
1257,1258,11
1258,1259,13
1259,1260,11
1260,1261,13
1261,1262,11
1262,1263,13
1263,1264,11
1264,1265,4
1265,1266,11
1266,1267,4
1267,1268,11
1268,1269,4
1269,1270,10
1270,1271,4
1271,1274,10
1274,1285,3
1285,1286,0
1286,1287,3
1287,1354,0
1354,1357,4
1357,1359,0
1359,1361,13
1361,1366,3
1366,1376,13
1376,1401,4
1401,1413,3
1413,1462,0
1462,1473,5
1473,1474,0
1474,1499,9
1499,1507,0
1507,1510,9
1510,1515,0
1515,1517,3
1517,1564,0
1564,1577,5
1577,1578,0
1578,1587,18
1587,1588,14
1588,1589,16
1589,1590,14
1590,1591,16
1591,1598,14
1598,1599,2
1599,1600,1
1600,1601,2
1601,1602,1
1602,1632,2
1632,1643,10
1643,1647,12
1647,1649,14
1649,1650,1
1650,1654,19
1654,1659,0
1659,1660,14
1660,1670,0
1670,1672,5
1672,1721,0
1721,1740,12
1740,1741,13
1741,1742,12
1742,1743,10
1743,1744,12
1744,1745,10
1745,1746,12
1746,1747,11
1747,1752,12
1752,1753,11
1753,1754,12
1754,1757,11
1757,1760,12
1760,1761,0
1761,1762,12
1762,1763,0
1763,1764,12
1764,1766,0
1766,1777,3
1777,1828,0
1828,1837,1
1837,1839,6
1839,1843,5
1843,1844,7
1844,1849,5
1849,1857,7
1857,1858,14
1858,1859,7
1859,1860,14
1860,1863,12
1863,1865,14
1865,1866,12
1866,1871,1
1871,1872,9
1872,1876,1
1876,1878,14
1878,1880,1
1880,1891,7
1891,1895,10
1895,1898,8
1898,1899,10
1899,1901,8
1901,1908,6
1908,1910,4
1910,2071,0
2071,2085,5
2085,2096,18
2096,2103,19
2103,2104,18
2104,2105,19
2105,2106,18
2106,2107,19
2107,2113,18
2113,2116,19
2116,2128,18
2128,2132,5
2132,2168,0
2168,2181,5
2181,2195,18
2195,2196,19
2196,2220,18
2220,2233,5
2233,2266,18
2266,2268,19
2268,2269,18
2269,2270,19
2270,2276,18
2276,2278,5
2278,2279,18
2279,2286,5
2286,2370,0
2370,2374,3
2374,2394,13
2394,2396,4
2396,2397,10
2397,2398,4
2398,2399,11
2399,2400,4
2400,2401,6
2401,2402,4
2402,2407,10
2407,2426,3
2426,2427,13
2427,2429,11
2429,2438,13
2438,2448,11
2448,2449,4
2449,2450,11
2450,2452,4
2452,2453,6
2453,2455,4
2455,2466,3
2466,2498,0
2498,2505,16
2505,2515,15
2515,2549,17
2549,2552,15
2552,2553,17
2553,2557,5
2557,2562,15
2562,2564,5
2564,2745,0
2745,2746,16
2746,2747,14
2747,2749,16
2749,2750,5
2750,2751,3
2751,2753,5
2753,2754,3
2754,2756,5
2756,2757,3
2757,2761,5
2761,2795,16
2795,2796,5
2796,2797,3
2797,2799,5
2799,2800,16
2800,2805,3
