start,stop,ID
0,59,0
59,73,5
73,76,18
76,83,14
83,87,2
87,91,1
91,92,2
92,95,9
95,123,2
123,124,18
124,128,10
128,133,9
133,134,13
134,137,9
137,146,14
146,149,0
149,164,5
164,207,0
207,208,4
208,209,0
209,212,1
212,213,0
213,217,1
217,222,6
222,231,11
231,249,6
249,251,0
251,254,4
254,255,3
255,258,4
258,260,3
260,264,6
264,265,0
265,266,6
266,282,0
282,283,8
283,285,5
285,298,4
298,416,0
416,425,14
425,426,9
426,427,14
427,448,9
448,450,14
450,452,0
452,455,14
455,456,0
456,458,9
458,460,0
460,461,5
461,462,3
462,463,5
463,633,0
633,647,12
647,648,11
648,650,12
650,654,10
654,655,12
655,656,11
656,661,12
661,663,10
663,664,12
664,666,11
666,668,12
668,671,10
671,673,12
673,674,0
674,675,4
675,677,0
677,684,4
684,692,3
692,693,0
693,694,3
694,738,0
738,739,12
739,750,1
750,751,15
751,752,6
752,753,5
753,756,6
756,773,8
773,778,6
778,780,4
780,785,0
785,788,4
788,793,0
793,794,3
794,825,0
825,826,5
826,830,3
830,834,0
834,835,14
835,836,0
836,837,14
837,838,0
838,861,9
861,862,2
862,865,4
865,866,9
866,875,4
875,879,0
879,888,3
888,1005,0
1005,1007,5
1007,1059,15
1059,1062,5
1062,1121,0
1121,1128,13
1128,1161,4
1161,1170,3
1170,1233,0
1233,1240,13
1240,1241,4
1241,1246,13
1246,1263,4
1263,1287,3
1287,1289,13
1289,1317,4
1317,1330,3
1330,1438,0
1438,1501,16
1501,1502,5
1502,1507,8
1507,1618,0
1618,1619,3
1619,1621,0
1621,1622,13
1622,1623,3
1623,1628,11
1628,1629,13
1629,1630,11
1630,1635,13
1635,1636,11
1636,1645,13
1645,1647,11
1647,1648,13
1648,1652,11
1652,1653,4
1653,1654,11
1654,1665,4
1665,1675,3
1675,1827,0
1827,1842,12
1842,1843,10
1843,1844,13
1844,1845,11
1845,1847,10
1847,1863,12
1863,1871,7
1871,1873,10
1873,1889,7
1889,1890,10
1890,1891,14
1891,1901,9
1901,1904,14
1904,1910,4
1910,1911,0
1911,1919,4
1919,1922,0
1922,1926,3
1926,2038,0
2038,2039,3
2039,2040,10
2040,2047,12
2047,2050,10
2050,2051,13
2051,2054,11
2054,2058,13
2058,2060,10
2060,2064,11
2064,2065,13
2065,2068,10
2068,2069,13
2069,2078,10
2078,2088,4
2088,2100,3
2100,2241,0
2241,2247,5
2247,2248,0
2248,2253,5
2253,2255,0
2255,2289,19
2289,2303,5
2303,2347,0
2347,2360,5
2360,2371,18
2371,2384,19
2384,2387,18
2387,2388,19
2388,2389,18
2389,2391,19
2391,2393,18
2393,2394,19
2394,2401,18
2401,2403,0
2403,2404,5
2404,2481,0
2481,2486,3
2486,2488,12
2488,2489,14
2489,2492,12
2492,2493,9
2493,2495,13
2495,2496,12
2496,2497,1
2497,2498,12
2498,2499,1
2499,2504,12
2504,2507,1
2507,2522,12
2522,2534,1
2534,2544,12
2544,2548,3
2548,2561,4
2561,2567,0
2567,2568,3
2568,2607,0
2607,2614,16
2614,2623,15
2623,2660,17
2660,2665,5
2665,2666,16
2666,2667,15
2667,2671,5
2671,2673,0
2673,2675,16
2675,2719,0
2719,2721,5
2721,2722,0
2722,2728,5
2728,2729,19
2729,2735,9
2735,2736,19
2736,2740,9
2740,2742,1
2742,2744,9
2744,2745,19
2745,2748,1
2748,2749,9
2749,2753,19
2753,2778,5
2778,2779,19
2779,2780,0
2780,2793,9
2793,2801,19
2801,2802,0
2802,2815,5
2815,2855,0
2855,2858,3
2858,2859,0
2859,2866,3
2866,2877,13
2877,2878,4
2878,2879,13
2879,2880,4
2880,2881,13
2881,2882,4
2882,2883,13
2883,2884,4
2884,2885,13
2885,2899,4
2899,2902,3
