start,stop,ID
0,64,0
64,82,12
82,85,13
85,88,10
88,91,12
91,92,11
92,94,10
94,97,11
97,99,12
99,105,0
105,115,3
115,307,0
307,314,3
314,315,13
315,316,0
316,317,13
317,318,0
318,320,13
320,343,4
343,353,3
353,556,0
556,565,1
565,569,6
569,574,5
574,577,6
577,585,7
585,586,12
586,605,1
605,612,7
612,616,5
616,617,8
617,622,5
622,623,8
623,631,6
631,687,0
687,688,12
688,689,11
689,690,0
690,691,11
691,692,0
692,700,11
700,703,13
703,704,11
704,711,13
711,717,11
717,727,4
727,737,3
737,898,0
898,899,10
899,900,0
900,901,10
901,904,13
904,905,10
905,906,13
906,908,10
908,911,13
911,913,9
913,915,1
915,918,13
918,919,10
919,920,13
920,922,10
922,944,7
944,945,9
945,949,7
949,953,9
953,960,14
960,962,4
962,967,0
967,968,4
968,969,0
969,970,4
970,971,0
971,972,4
972,981,3
981,1185,0
1185,1190,1
1190,1196,6
1196,1198,7
1198,1202,5
1202,1203,2
1203,1214,7
1214,1217,12
1217,1232,1
1232,1233,2
1233,1234,14
1234,1239,7
1239,1241,2
1241,1242,5
1242,1243,2
1243,1245,7
1245,1246,5
1246,1247,2
1247,1250,5
1250,1251,7
1251,1259,6
1259,1386,0
1386,1389,16
1389,1404,15
1404,1414,17
1414,1418,15
1418,1420,17
1420,1421,15
1421,1423,17
1423,1425,15
1425,1430,17
1430,1431,15
1431,1434,17
1434,1436,15
1436,1442,5
1442,1444,15
1444,1448,5
1448,1466,0
1466,1477,16
1477,1478,5
1478,1481,15
1481,1483,5
1483,1509,16
1509,1512,17
1512,1514,16
1514,1527,5
1527,1528,3
1528,1677,0
1677,1689,5
1689,1693,18
1693,1725,19
1725,1737,5
1737,1912,0
1912,1913,5
1913,1914,0
1914,1926,5
1926,1927,0
1927,1938,18
1938,1948,19
1948,1949,18
1949,1950,9
1950,1954,18
1954,1958,19
1958,1964,18
1964,1978,5
1978,2100,0
2100,2105,5
2105,2106,0
2106,2107,5
2107,2108,0
2108,2110,5
2110,2111,0
2111,2112,5
2112,2113,18
2113,2114,14
2114,2115,18
2115,2116,14
2116,2117,16
2117,2126,14
2126,2127,9
2127,2131,14
2131,2133,1
2133,2134,14
2134,2135,1
2135,2136,14
2136,2164,2
2164,2165,10
2165,2166,9
2166,2167,10
2167,2168,9
2168,2171,10
2171,2173,9
2173,2176,1
2176,2187,14
2187,2204,5
2204,2259,0
2259,2268,1
2268,2269,6
2269,2290,8
2290,2294,6
2294,2309,4
2309,2314,3
2314,2348,0
2348,2357,16
2357,2367,15
2367,2369,17
2369,2370,15
2370,2405,17
2405,2406,15
2406,2412,5
2412,2416,15
2416,2418,5
2418,2469,0
2469,2470,10
2470,2472,0
2472,2474,3
2474,2484,10
2484,2485,13
2485,2487,10
2487,2488,13
2488,2489,9
2489,2491,13
2491,2494,10
2494,2498,13
2498,2502,10
2502,2505,4
2505,2506,0
2506,2507,4
2507,2508,10
2508,2509,0
2509,2510,10
2510,2513,4
2513,2523,3
2523,2561,0
2561,2573,3
2573,2576,13
2576,2599,4
2599,2620,3
2620,2625,13
2625,2627,4
2627,2628,13
2628,2629,4
2629,2631,13
2631,2651,4
2651,2660,3
2660,2661,0
2661,2662,3
2662,2709,0
2709,2710,3
2710,2711,0
2711,2721,3
2721,2733,13
2733,2734,4
2734,2735,13
2735,2736,4
2736,2743,13
2743,2744,4
2744,2745,11
2745,2756,4
2756,2768,3
2768,2822,0
2822,2863,14
2863,2866,9
2866,2867,5
2867,2868,3
2868,2869,9
2869,2870,3
2870,2871,5
2871,2872,3
2872,2873,5
2873,2874,3
2874,2914,0
2914,2915,5
2915,2927,0
2927,2950,9
2950,2951,18
2951,2952,9
2952,2953,18
2953,2954,0
2954,2958,9
2958,2959,3
2959,2961,5
2961,2962,3
2962,2963,9
2963,2964,3
2964,2965,9
2965,2968,5
2968,3090,0
3090,3101,5
3101,3104,0
3104,3107,18
3107,3113,19
3113,3114,1
3114,3115,15
3115,3116,1
3116,3124,19
3124,3147,5
3147,3154,18
3154,3155,19
3155,3156,18
3156,3162,19
3162,3163,9
3163,3166,18
3166,3167,19
3167,3168,18
3168,3169,19
3169,3170,18
3170,3171,19
3171,3175,18
3175,3180,5
