start,stop,ID
0,200,0
200,205,4
205,209,13
209,210,11
210,218,4
218,219,13
219,242,4
242,251,3
251,447,0
447,456,16
456,457,5
457,458,16
458,464,5
464,512,16
512,518,4
518,535,3
535,586,0
586,610,16
610,614,15
614,615,17
615,616,15
616,619,17
619,620,16
620,621,17
621,626,16
626,627,17
627,630,16
630,650,17
650,654,16
654,662,15
662,674,5
674,741,0
741,751,3
751,761,13
761,762,11
762,765,13
765,766,11
766,767,13
767,772,11
772,775,13
775,781,11
781,783,10
783,784,11
784,787,10
787,794,4
794,815,3
815,817,11
817,828,12
828,843,11
843,844,12
844,845,11
845,851,12
851,853,11
853,856,10
856,859,11
859,866,4
866,880,3
880,1093,0
1093,1102,3
1102,1106,13
1106,1111,12
1111,1112,13
1112,1120,11
1120,1122,13
1122,1123,11
1123,1124,13
1124,1131,11
1131,1132,13
1132,1134,11
1134,1135,10
1135,1136,12
1136,1142,10
1142,1145,11
1145,1153,4
1153,1166,3
1166,1332,0
1332,1343,5
1343,1397,18
1397,1409,5
1409,1523,0
1523,1526,12
1526,1527,1
1527,1528,0
1528,1529,1
1529,1531,0
1531,1532,10
1532,1533,0
1533,1534,10
1534,1545,11
1545,1547,12
1547,1548,10
1548,1551,12
1551,1553,10
1553,1555,12
1555,1562,10
1562,1567,12
1567,1570,9
1570,1589,14
1589,1598,12
1598,1607,7
1607,1608,12
1608,1610,7
1610,1614,10
1614,1622,12
1622,1623,8
1623,1625,11
1625,1641,4
1641,1717,0
1717,1730,5
1730,1731,0
1731,1742,18
1742,1747,19
1747,1758,18
1758,1766,2
1766,1795,5
1795,1796,0
1796,1801,19
1801,1802,9
1802,1804,19
1804,1805,9
1805,1821,19
1821,1841,18
1841,1855,5
1855,1927,0
1927,1977,12
1977,1980,10
1980,1981,4
1981,1982,10
1982,1989,4
1989,1990,3
1990,1991,4
1991,2002,3
2002,2050,0
2050,2051,3
2051,2057,0
2057,2058,12
2058,2059,10
2059,2061,12
2061,2062,9
2062,2064,10
2064,2070,12
2070,2071,10
2071,2072,0
2072,2073,13
2073,2074,0
2074,2076,10
2076,2077,13
2077,2082,12
2082,2083,10
2083,2089,12
2089,2091,10
2091,2100,12
2100,2104,10
2104,2109,7
2109,2112,10
2112,2114,7
2114,2120,10
2120,2128,7
2128,2131,12
2131,2153,14
2153,2156,3
2156,2169,4
2169,2181,3
2181,2331,0
2331,2344,5
2344,2345,0
2345,2368,18
2368,2369,16
2369,2372,18
2372,2375,7
2375,2383,2
2383,2386,18
2386,2390,2
2390,2408,13
2408,2417,10
2417,2422,2
2422,2423,10
2423,2431,9
2431,2446,14
2446,2449,19
2449,2469,18
2469,2481,5
2481,2673,0
2673,2682,1
2682,2698,11
2698,2699,7
2699,2701,11
2701,2703,1
2703,2704,12
2704,2706,1
2706,2725,12
2725,2735,1
2735,2741,12
2741,2748,3
2748,2751,12
2751,2753,8
2753,2755,12
2755,2756,8
2756,2757,12
2757,2760,8
2760,2762,6
2762,2777,4
2777,2970,0
2970,2974,3
2974,2985,0
2985,2987,15
2987,2991,1
2991,2997,15
2997,2998,6
2998,3030,8
3030,3034,0
3034,3057,4
3057,3062,3
3062,3137,0
3137,3147,5
3147,3152,0
3152,3153,18
3153,3160,19
3160,3161,18
3161,3185,19
3185,3195,18
3195,3197,19
3197,3199,18
3199,3213,5
3213,3409,0
3409,3422,12
3422,3429,14
3429,3430,12
3430,3432,14
3432,3435,12
3435,3443,14
3443,3446,12
3446,3451,14
3451,3456,10
3456,3468,3
3468,3545,0
3545,3549,5
3549,3616,15
3616,3619,5
3619,3675,0
3675,3727,10
3727,3740,3
3740,3828,0
3828,3839,3
3839,3846,13
3846,3847,11
3847,3848,13
3848,3854,11
3854,3858,13
3858,3859,11
3859,3861,13
3861,3865,11
3865,3866,13
3866,3869,11
3869,3875,10
3875,3878,11
3878,3887,4
3887,3898,3
3898,4038,0
4038,4044,3
4044,4050,10
4050,4052,9
4052,4055,10
4055,4069,9
4069,4083,10
4083,4084,4
4084,4086,10
4086,4088,0
4088,4103,3
4103,4128,0
