start,stop,ID
0,30,0
30,32,3
32,50,0
50,51,4
51,52,11
52,60,1
60,68,6
68,69,11
69,70,6
70,71,11
71,75,6
75,77,11
77,78,6
78,79,11
79,92,6
92,96,4
96,97,3
97,99,4
99,111,3
111,114,4
114,115,3
115,116,4
116,121,6
121,123,0
123,124,4
124,125,0
125,130,4
130,131,0
131,148,4
148,154,0
154,155,3
155,184,0
184,185,12
185,186,0
186,187,12
187,188,0
188,189,12
189,190,0
190,191,12
191,195,0
195,209,13
209,210,9
210,211,1
211,212,9
212,217,1
217,218,14
218,220,12
220,223,10
223,225,12
225,231,7
231,233,10
233,234,12
234,249,7
249,251,10
251,259,9
259,270,14
270,271,4
271,279,0
279,280,3
280,281,0
281,287,3
287,330,0
330,331,3
331,332,0
332,333,3
333,340,0
340,341,9
341,342,13
342,343,9
343,344,1
344,351,4
351,352,1
352,357,4
357,363,3
363,364,8
364,365,3
365,376,8
376,378,11
378,380,13
380,381,11
381,397,4
397,403,0
403,404,4
404,563,0
563,579,12
579,580,11
580,582,0
582,584,13
584,602,12
602,603,10
603,607,0
607,614,4
614,625,3
625,664,0
664,676,5
676,678,0
678,681,18
681,686,19
686,687,18
687,711,19
711,720,18
720,721,5
721,722,0
722,729,5
729,765,0
765,774,3
774,827,16
827,829,4
829,830,3
830,831,5
831,832,3
832,834,5
834,836,16
836,837,3
837,838,5
838,839,16
839,845,3
845,846,8
846,1023,0
1023,1024,3
1024,1029,0
1029,1031,3
1031,1034,11
1034,1036,0
1036,1039,13
1039,1042,11
1042,1059,13
1059,1061,11
1061,1062,13
1062,1074,4
1074,1084,3
1084,1121,0
1121,1122,5
1122,1123,0
1123,1124,5
1124,1126,9
1126,1128,0
1128,1129,5
1129,1170,9
1170,1171,3
1171,1172,9
1172,1178,3
1178,1227,0
1227,1232,3
1232,1233,0
1233,1246,13
1246,1248,4
1248,1249,13
1249,1266,4
1266,1281,3
1281,1292,0
1292,1296,13
1296,1317,4
1317,1318,0
1318,1324,4
1324,1326,0
1326,1336,3
1336,1379,0
1379,1380,14
1380,1381,0
1381,1382,14
1382,1383,0
1383,1384,14
1384,1387,0
1387,1429,14
1429,1438,9
1438,1439,5
1439,1440,3
1440,1441,9
1441,1442,3
1442,1443,5
1443,1492,0
1492,1505,5
1505,1516,18
1516,1517,19
1517,1518,18
1518,1522,19
1522,1526,18
1526,1527,19
1527,1528,18
1528,1529,19
1529,1534,18
1534,1536,19
1536,1538,18
1538,1539,19
1539,1550,18
1550,1555,5
1555,1556,18
1556,1563,5
1563,1719,0
1719,1727,5
1727,1736,18
1736,1737,19
1737,1738,18
1738,1761,19
1761,1784,5
1784,1785,18
1785,1786,19
1786,1793,18
1793,1804,19
1804,1805,18
1805,1806,19
1806,1810,18
1810,1817,19
1817,1822,18
1822,1829,5
1829,1858,0
1858,1859,12
1859,1861,10
1861,1866,9
1866,1868,10
1868,1871,13
1871,1872,11
1872,1876,13
1876,1877,10
1877,1878,13
1878,1879,10
1879,1886,13
1886,1894,10
1894,1899,0
1899,1902,4
1902,1903,0
1903,1911,3
1911,2100,0
2100,2111,5
2111,2114,18
2114,2116,16
2116,2117,14
2117,2118,16
2118,2122,14
2122,2126,2
2126,2129,1
2129,2159,2
2159,2162,10
2162,2164,7
2164,2166,12
2166,2171,14
2171,2183,19
2183,2186,18
2186,2248,0
2248,2249,11
2249,2250,12
2250,2252,11
2252,2257,12
2257,2282,11
2282,2284,12
2284,2289,10
2289,2302,4
2302,2312,3
2312,2432,0
2432,2438,16
2438,2454,15
2454,2463,17
2463,2464,15
2464,2465,17
2465,2466,16
2466,2469,17
2469,2472,16
2472,2473,17
2473,2474,16
2474,2477,15
2477,2484,17
2484,2508,15
2508,2510,0
2510,2514,8
2514,2516,16
2516,2517,8
2517,2520,16
2520,2521,0
2521,2522,15
2522,2523,0
2523,2530,15
2530,2541,16
2541,2546,17
2546,2550,16
2550,2551,17
2551,2558,16
2558,2561,17
2561,2563,16
2563,2564,17
2564,2585,16
2585,2598,5
2598,2655,0
2655,2663,1
2663,2673,6
2673,2674,5
2674,2679,11
2679,2689,7
2689,2690,14
2690,2691,7
2691,2692,3
2692,2693,13
2693,2705,9
2705,2711,14
2711,2716,4
2716,2717,7
2717,2718,2
2718,2720,7
2720,2725,3
2725,2741,8
2741,2749,4
2749,2750,0
2750,2751,4
2751,2752,0
2752,2753,4
2753,2754,0
2754,2755,4
2755,2850,0
2850,2863,3
2863,2867,13
2867,2898,4
2898,2908,3
2908,2941,0
