start,stop,ID
0,160,0
160,163,11
163,164,1
164,165,0
165,171,1
171,172,4
172,173,13
173,174,4
174,184,2
184,185,1
185,224,6
224,225,8
225,227,0
227,229,4
229,230,0
230,236,8
236,237,3
237,245,4
245,298,0
298,312,5
312,327,18
327,330,16
330,333,13
333,334,11
334,335,7
335,336,18
336,339,7
339,340,2
340,341,7
341,344,18
344,360,2
360,362,13
362,365,11
365,367,13
367,393,10
393,394,9
394,402,19
402,420,18
420,421,0
421,424,5
424,482,0
482,483,4
483,484,0
484,492,4
492,493,1
493,497,9
497,498,3
498,502,5
502,505,2
505,510,7
510,517,14
517,531,1
531,541,14
541,549,5
549,556,8
556,557,6
557,558,8
558,559,0
559,562,8
562,563,0
563,578,4
578,581,0
581,582,4
582,642,0
642,649,5
649,655,0
655,662,19
662,664,18
664,669,19
669,673,18
673,674,15
674,675,19
675,696,5
696,705,19
705,710,18
710,713,19
713,714,18
714,715,19
715,720,18
720,721,19
721,736,18
736,750,5
750,803,0
803,825,18
825,828,19
828,832,18
832,839,19
839,852,18
852,922,0
922,934,3
934,940,13
940,967,4
967,983,3
983,1059,0
1059,1060,5
1060,1061,18
1061,1063,5
1063,1098,18
1098,1103,19
1103,1131,18
1131,1195,0
1195,1200,3
1200,1204,5
1204,1264,16
1264,1265,3
1265,1270,8
1270,1432,0
1432,1447,14
1447,1449,9
1449,1476,14
1476,1479,12
1479,1483,14
1483,1488,4
1488,1499,3
1499,1656,0
1656,1657,3
1657,1667,16
1667,1673,15
1673,1690,16
1690,1710,15
1710,1711,17
1711,1719,15
1719,1721,8
1721,1723,15
1723,1726,8
1726,1731,15
1731,1883,0
1883,1935,12
1935,1940,10
1940,1941,12
1941,1956,3
1956,1957,0
1957,1958,3
1958,2090,0
2090,2095,16
2095,2102,15
2102,2103,17
2103,2104,15
2104,2148,17
2148,2158,15
2158,2159,5
2159,2166,15
2166,2167,5
2167,2168,15
2168,2169,5
2169,2203,0
2203,2210,3
2210,2217,13
2217,2218,10
2218,2219,13
2219,2220,10
2220,2221,13
2221,2222,10
2222,2223,13
2223,2224,10
2224,2225,13
2225,2226,10
2226,2227,13
2227,2228,10
2228,2235,13
2235,2236,10
2236,2241,13
2241,2261,10
2261,2262,12
2262,2269,10
2269,2270,3
2270,2271,10
2271,2276,4
2276,2290,3
2290,2307,0
2307,2318,3
2318,2340,13
2340,2342,11
2342,2345,13
2345,2356,10
2356,2357,12
2357,2364,10
2364,2367,4
2367,2381,3
2381,2434,0
2434,2441,3
2441,2444,0
2444,2447,13
2447,2449,8
2449,2450,12
2450,2451,11
2451,2452,4
2452,2454,1
2454,2455,4
2455,2459,1
2459,2461,13
2461,2462,8
2462,2463,13
2463,2480,8
2480,2484,1
2484,2494,14
2494,2495,4
2495,2498,5
2498,2499,4
2499,2500,5
2500,2507,4
2507,2508,3
2508,2510,4
2510,2513,3
2513,2553,0
2553,2558,3
2558,2567,0
2567,2588,4
2588,2594,3
2594,2595,8
2595,2612,3
2612,2635,13
2635,2637,11
2637,2638,13
2638,2645,4
2645,2659,3
2659,2720,0
2720,2729,12
2729,2735,13
2735,2738,1
2738,2741,12
2741,2742,10
2742,2743,12
2743,2745,10
2745,2747,12
2747,2775,7
2775,2776,12
2776,2795,14
2795,2806,4
2806,2818,3
2818,2854,0
2854,2856,3
2856,2859,0
2859,2860,3
2860,2865,0
2865,2916,9
2916,2926,3
2926,2975,0
2975,2985,3
2985,3006,13
3006,3007,10
3007,3008,13
3008,3009,10
3009,3014,13
3014,3030,10
3030,3031,12
3031,3032,10
3032,3033,4
3033,3048,3
3048,3061,0
