start,stop,ID
0,130,0
130,131,5
131,135,0
135,137,5
137,138,18
138,139,9
139,140,18
140,151,9
151,152,19
152,162,9
162,163,19
163,165,2
165,166,18
166,167,2
167,188,5
188,204,9
204,208,13
208,210,9
210,211,4
211,212,0
212,213,4
213,215,0
215,216,5
216,220,14
220,221,9
221,228,5
228,276,0
276,277,5
277,285,0
285,296,18
296,323,19
323,328,18
328,334,19
334,349,5
349,530,0
530,532,13
532,534,10
534,538,12
538,540,11
540,543,10
543,546,11
546,552,13
552,560,10
560,563,11
563,569,10
569,575,4
575,576,0
576,586,3
586,738,0
738,755,15
755,789,17
789,790,16
790,791,17
791,794,16
794,797,15
797,798,16
798,799,15
799,800,16
800,801,15
801,809,5
809,810,15
810,813,5
813,816,0
816,818,8
818,866,0
866,868,12
868,871,19
871,872,18
872,886,2
886,889,6
889,890,8
890,917,6
917,921,0
921,922,3
922,926,6
926,930,3
930,934,0
934,935,8
935,936,6
936,937,5
937,938,0
938,939,5
939,944,7
944,953,0
953,966,4
966,967,0
967,968,4
968,971,0
971,974,3
974,1004,0
1004,1005,3
1005,1007,12
1007,1008,11
1008,1009,12
1009,1010,11
1010,1013,18
1013,1017,16
1017,1018,15
1018,1019,2
1019,1020,15
1020,1021,1
1021,1022,2
1022,1027,1
1027,1028,11
1028,1029,1
1029,1033,6
1033,1056,8
1056,1060,0
1060,1077,4
1077,1081,0
1081,1082,3
1082,1134,0
1134,1136,13
1136,1137,10
1137,1143,12
1143,1145,10
1145,1151,11
1151,1154,13
1154,1161,11
1161,1162,10
1162,1163,13
1163,1166,11
1166,1179,10
1179,1180,11
1180,1191,4
1191,1203,3
1203,1248,0
1248,1253,10
1253,1254,3
1254,1257,10
1257,1262,12
1262,1263,10
1263,1264,12
1264,1265,10
1265,1266,12
1266,1267,10
1267,1272,12
1272,1277,10
1277,1280,12
1280,1284,10
1284,1285,12
1285,1290,10
1290,1291,12
1291,1303,10
1303,1304,0
1304,1314,3
1314,1480,0
1480,1489,3
1489,1492,5
1492,1493,3
1493,1494,13
1494,1496,9
1496,1497,13
1497,1522,16
1522,1527,9
1527,1528,3
1528,1530,4
1530,1531,9
1531,1542,3
1542,1543,8
1543,1545,3
1545,1549,8
1549,1586,0
1586,1596,5
1596,1629,18
1629,1636,19
1636,1655,18
1655,1669,5
1669,1727,0
1727,1728,13
1728,1729,0
1729,1730,13
1730,1731,0
1731,1736,3
1736,1737,12
1737,1740,1
1740,1743,2
1743,1744,9
1744,1745,14
1745,1747,13
1747,1753,12
1753,1756,1
1756,1769,12
1769,1792,7
1792,1795,10
1795,1805,9
1805,1810,14
1810,1814,3
1814,1828,4
1828,1829,0
1829,1836,3
1836,1877,0
1877,1888,5
1888,1890,0
1890,1891,18
1891,1892,0
1892,1903,18
1903,1904,14
1904,1905,9
1905,1910,14
1910,1911,13
1911,1912,14
1912,1913,18
1913,1915,2
1915,1916,7
1916,1917,2
1917,1918,1
1918,1924,14
1924,1928,2
1928,1934,13
1934,1945,2
1945,1961,10
1961,1962,12
1962,1967,10
1967,1971,12
1971,1974,19
1974,1988,0
1988,1989,5
1989,1990,0
1990,1995,5
1995,2109,0
2109,2110,14
2110,2111,0
2111,2112,14
2112,2114,0
2114,2118,14
2118,2119,12
2119,2122,14
2122,2123,9
2123,2151,14
2151,2167,9
2167,2168,3
2168,2169,5
2169,2170,3
2170,2171,5
2171,2172,3
2172,2221,0
2221,2222,3
2222,2223,0
2223,2224,3
2224,2228,0
2228,2229,13
2229,2230,0
2230,2232,13
2232,2234,18
2234,2235,5
2235,2240,2
2240,2241,13
2241,2242,2
2242,2243,5
2243,2244,2
2244,2250,4
2250,2252,1
2252,2259,4
2259,2260,5
2260,2286,3
2286,2307,13
2307,2309,11
2309,2310,13
2310,2311,11
2311,2318,4
2318,2333,3
2333,2407,0
2407,2408,5
2408,2415,0
2415,2416,9
2416,2421,0
2421,2422,4
2422,2424,9
2424,2440,4
2440,2454,0
2454,2460,3
2460,2550,0
2550,2557,5
2557,2558,18
2558,2563,5
2563,2564,0
2564,2565,13
2565,2566,11
2566,2570,13
2570,2571,11
2571,2572,13
2572,2580,4
2580,2581,1
2581,2582,7
2582,2583,1
2583,2586,12
2586,2588,14
2588,2593,12
2593,2598,14
2598,2600,9
2600,2620,14
2620,2621,5
2621,2622,3
2622,2636,5
2636,2646,6
2646,2648,0
2648,2649,4
2649,2656,0
2656,2657,4
2657,2801,0
2801,2878,15
2878,2879,5
2879,2880,0
2880,2883,5
2883,2885,0
2885,2886,3
2886,2888,0
2888,2889,3
2889,2943,9
2943,2946,3
2946,3015,0
3015,3017,3
3017,3020,13
3020,3021,11
3021,3023,13
3023,3031,11
3031,3044,13
3044,3046,11
3046,3050,13
3050,3051,9
3051,3058,10
3058,3070,4
3070,3083,3
3083,3085,0
