start,stop,ID
0,73,0
73,74,13
74,78,1
78,80,6
80,81,4
81,83,1
83,90,13
90,95,11
95,98,1
98,99,12
99,103,1
103,121,12
121,139,14
139,146,3
146,149,4
149,153,3
153,156,8
156,160,6
160,169,4
169,170,0
170,174,4
174,175,0
175,176,4
176,178,0
178,179,4
179,217,0
217,227,3
227,243,13
243,247,11
247,248,13
248,249,4
249,251,10
251,252,3
252,253,4
253,280,3
280,301,13
301,312,4
312,327,3
327,459,0
459,522,16
522,525,0
525,526,8
526,637,0
637,644,15
644,645,5
645,696,15
696,703,5
703,728,0
728,740,5
740,741,0
741,742,5
742,754,18
754,756,19
756,759,18
759,760,19
760,761,18
761,764,19
764,765,18
765,766,19
766,771,18
771,772,19
772,789,18
789,801,5
801,863,0
863,874,5
874,875,0
875,876,5
876,883,18
883,884,16
884,885,18
885,888,16
888,894,14
894,897,2
897,898,1
898,899,2
899,900,1
900,901,2
901,906,1
906,931,2
931,938,7
938,942,10
942,944,13
944,945,10
945,952,9
952,953,14
953,956,18
956,957,16
957,968,18
968,983,5
983,1119,0
1119,1129,3
1129,1132,13
1132,1155,11
1155,1156,13
1156,1157,11
1157,1160,13
1160,1164,11
1164,1177,12
1177,1179,4
1179,1180,0
1180,1193,3
1193,1194,0
1194,1195,3
1195,1377,0
1377,1378,3
1378,1379,9
1379,1380,14
1380,1381,9
1381,1382,14
1382,1383,9
1383,1384,14
1384,1424,9
1424,1431,3
1431,1492,0
1492,1493,3
1493,1494,0
1494,1495,3
1495,1501,0
1501,1502,13
1502,1503,11
1503,1508,12
1508,1522,13
1522,1523,11
1523,1524,13
1524,1526,11
1526,1529,13
1529,1533,9
1533,1539,10
1539,1541,12
1541,1561,7
1561,1566,10
1566,1567,9
1567,1582,14
1582,1590,0
1590,1593,4
1593,1599,3
1599,1634,0
1634,1644,3
1644,1672,13
1672,1686,10
1686,1692,4
1692,1705,3
1705,1818,0
1818,1826,3
1826,1833,13
1833,1834,12
1834,1849,13
1849,1850,10
1850,1852,11
1852,1855,13
1855,1870,10
1870,1879,4
1879,1893,3
1893,1958,0
1958,1962,11
1962,1963,4
1963,1964,11
1964,1965,4
1965,1969,11
1969,1975,13
1975,1983,11
1983,1990,1
1990,2025,12
2025,2039,3
2039,2043,8
2043,2047,6
2047,2049,7
2049,2050,4
2050,2051,6
2051,2052,4
2052,2086,0
2086,2099,5
2099,2111,18
2111,2112,19
2112,2113,18
2113,2116,19
2116,2127,18
2127,2128,19
2128,2133,18
2133,2157,5
2157,2159,0
2159,2161,18
2161,2181,19
2181,2185,18
2185,2188,19
2188,2190,18
2190,2332,0
2332,2334,3
2334,2338,0
2338,2357,12
2357,2358,11
2358,2359,12
2359,2360,11
2360,2363,12
2363,2364,11
2364,2390,12
2390,2394,10
2394,2398,4
2398,2399,0
2399,2400,4
2400,2401,3
2401,2402,0
2402,2403,3
2403,2404,4
2404,2409,3
2409,2410,0
2410,2412,3
2412,2450,0
2450,2454,12
2454,2460,0
2460,2465,12
2465,2468,1
2468,2470,13
2470,2472,1
2472,2474,16
2474,2475,12
2475,2476,8
2476,2478,12
2478,2491,8
2491,2493,1
2493,2494,8
2494,2496,1
2496,2497,8
2497,2502,6
2502,2511,4
2511,2512,0
2512,2513,4
2513,2521,3
2521,2667,0
2667,2679,5
2679,2682,0
2682,2687,19
2687,2692,18
2692,2704,19
2704,2708,18
2708,2711,19
2711,2712,18
2712,2715,19
2715,2724,18
2724,2734,5
2734,2783,0
2783,2785,14
2785,2786,0
2786,2788,9
2788,2794,14
2794,2796,9
2796,2798,14
2798,2800,9
2800,2801,14
2801,2807,9
2807,2809,14
2809,2810,9
2810,2818,14
2818,2829,9
2829,2834,5
2834,3034,0
3034,3048,3
3048,3049,9
3049,3054,13
3054,3087,4
3087,3088,3
3088,3089,4
3089,3092,3
3092,3154,0
3154,3155,5
3155,3158,16
3158,3176,15
3176,3209,17
3209,3210,15
3210,3211,5
3211,3212,15
3212,3213,5
3213,3214,15
3214,3216,5
3216,3218,15
3218,3221,5
3221,3230,0
