start,stop,ID
0,71,0
71,74,5
74,78,0
78,82,5
82,84,0
84,85,18
85,100,19
100,101,18
101,106,19
106,107,2
107,108,14
108,110,2
110,113,14
113,114,19
114,115,14
115,119,1
119,148,2
148,149,1
149,152,10
152,161,1
161,162,14
162,167,19
167,183,5
183,246,0
246,247,9
247,248,19
248,249,1
249,250,5
250,251,1
251,265,5
265,272,1
272,284,12
284,285,13
285,286,9
286,294,13
294,305,1
305,308,3
308,315,5
315,317,3
317,318,8
318,319,5
319,324,8
324,326,5
326,328,6
328,329,4
329,333,5
333,336,4
336,339,0
339,341,4
341,394,0
394,401,3
401,422,10
422,425,13
425,430,10
430,431,13
431,445,10
445,446,4
446,447,0
447,448,4
448,461,3
461,667,0
667,668,13
668,669,18
669,673,1
673,675,15
675,678,1
678,686,6
686,704,8
704,705,6
705,707,5
707,709,2
709,710,4
710,711,0
711,712,4
712,715,0
715,716,4
716,781,0
781,782,12
782,783,0
783,800,12
800,801,10
801,802,12
802,803,10
803,819,12
819,846,7
846,851,14
851,852,9
852,868,14
868,869,4
869,870,0
870,876,4
876,885,3
885,887,0
887,888,3
888,1066,0
1066,1075,3
1075,1076,13
1076,1078,10
1078,1084,13
1084,1086,11
1086,1099,13
1099,1101,10
1101,1104,13
1104,1113,10
1113,1118,11
1118,1120,4
1120,1123,0
1123,1134,3
1134,1175,0
1175,1187,5
1187,1188,18
1188,1189,0
1189,1190,18
1190,1191,9
1191,1192,18
1192,1193,19
1193,1194,18
1194,1209,19
1209,1210,2
1210,1236,5
1236,1237,18
1237,1238,19
1238,1239,18
1239,1240,19
1240,1241,9
1241,1258,19
1258,1262,18
1262,1266,19
1266,1277,5
1277,1333,0
1333,1336,14
1336,1338,12
1338,1339,14
1339,1345,9
1345,1346,12
1346,1351,9
1351,1367,14
1367,1369,9
1369,1370,14
1370,1372,9
1372,1374,14
1374,1375,9
1375,1378,14
1378,1379,9
1379,1382,14
1382,1384,9
1384,1389,14
1389,1406,9
1406,1416,3
1416,1417,8
1417,1418,3
1418,1425,0
1425,1437,5
1437,1439,0
1439,1440,18
1440,1446,19
1446,1447,18
1447,1463,19
1463,1467,18
1467,1470,19
1470,1471,18
1471,1476,19
1476,1478,18
1478,1492,5
1492,1660,0
1660,1668,3
1668,1701,16
1701,1702,15
1702,1704,5
1704,1705,16
1705,1706,5
1706,1713,16
1713,1716,3
1716,1721,8
1721,1781,0
1781,1782,3
1782,1784,13
1784,1785,0
1785,1792,3
1792,1796,13
1796,1797,0
1797,1802,13
1802,1822,4
1822,1834,3
1834,1836,4
1836,1905,0
1905,1907,13
1907,1909,11
1909,1914,12
1914,1938,11
1938,1942,10
1942,1943,11
1943,1944,10
1944,1945,11
1945,1948,10
1948,1958,4
1958,1969,3
1969,2092,0
2092,2093,14
2093,2094,0
2094,2098,14
2098,2101,12
2101,2103,14
2103,2104,9
2104,2105,14
2105,2106,9
2106,2144,14
2144,2147,9
2147,2150,5
2150,2154,3
2154,2284,0
2284,2296,5
2296,2298,0
2298,2305,19
2305,2307,18
2307,2331,19
2331,2337,18
2337,2350,5
2350,2471,0
2471,2472,3
2472,2473,8
2473,2474,3
2474,2476,16
2476,2480,0
2480,2482,5
2482,2486,15
2486,2487,2
2487,2488,15
2488,2489,2
2489,2496,15
2496,2506,17
2506,2509,15
2509,2510,16
2510,2511,15
2511,2514,17
2514,2530,15
2530,2542,5
2542,2582,0
2582,2583,4
2583,2584,1
2584,2587,19
2587,2588,15
2588,2593,5
2593,2594,2
2594,2637,6
2637,2638,0
2638,2639,4
2639,2642,0
2642,2643,8
2643,2647,5
2647,2648,6
2648,2649,5
2649,2650,4
2650,2654,6
2654,2655,4
2655,2778,0
2778,2820,12
2820,2821,10
2821,2822,12
2822,2834,10
2834,2835,4
2835,2850,3
2850,2874,0
2874,2884,3
2884,2891,13
2891,2908,4
2908,2931,3
2931,2949,13
2949,2962,4
2962,2975,3
2975,3027,0
3027,3028,16
3028,3029,0
3029,3031,15
3031,3032,16
3032,3040,15
3040,3079,17
3079,3080,5
3080,3081,16
3081,3082,5
3082,3083,16
3083,3084,5
3084,3086,16
