start,stop,ID
0,74,0
74,76,5
76,86,0
86,87,9
87,89,19
89,99,1
99,132,5
132,134,0
134,136,18
136,138,19
138,139,5
139,155,19
155,168,5
168,240,0
240,241,4
241,242,1
242,243,4
243,252,1
252,257,6
257,261,8
261,267,6
267,278,7
278,280,12
280,281,13
281,282,7
282,283,12
283,284,7
284,285,12
285,290,1
290,291,9
291,292,1
292,293,14
293,300,1
300,302,6
302,305,5
305,306,3
306,314,5
314,319,8
319,320,5
320,329,6
329,384,0
384,388,12
388,390,0
390,391,10
391,393,0
393,396,10
396,422,9
422,424,14
424,425,0
425,429,4
429,440,3
440,591,0
591,597,16
597,607,15
607,646,17
646,647,16
647,658,5
658,715,0
715,716,10
716,717,12
717,718,10
718,721,12
721,722,10
722,723,12
723,727,10
727,728,13
728,731,10
731,733,13
733,744,10
744,746,11
746,751,10
751,757,4
757,758,0
758,768,3
768,955,0
955,957,11
957,960,12
960,965,0
965,971,11
971,972,13
972,980,11
980,981,13
981,982,10
982,986,11
986,998,10
998,1012,4
1012,1021,3
1021,1170,0
1170,1171,11
1171,1172,0
1172,1178,11
1178,1179,1
1179,1200,11
1200,1202,13
1202,1206,11
1206,1217,10
1217,1220,11
1220,1233,4
1233,1239,3
1239,1420,0
1420,1422,5
1422,1465,15
1465,1466,5
1466,1470,15
1470,1474,5
1474,1499,0
1499,1510,5
1510,1512,0
1512,1514,18
1514,1519,19
1519,1521,18
1521,1547,19
1547,1559,18
1559,1568,5
1568,1569,0
1569,1570,5
1570,1632,0
1632,1633,3
1633,1634,0
1634,1637,3
1637,1642,13
1642,1644,0
1644,1645,13
1645,1646,4
1646,1647,13
1647,1666,4
1666,1675,3
1675,1679,8
1679,1695,3
1695,1697,11
1697,1705,13
1705,1706,4
1706,1710,13
1710,1712,11
1712,1713,13
1713,1726,4
1726,1729,0
1729,1732,3
1732,1733,0
1733,1734,3
1734,1737,0
1737,1739,3
1739,1952,0
1952,1958,3
1958,1961,0
1961,1992,4
1992,2002,3
2002,2083,0
2083,2084,4
2084,2094,1
2094,2095,2
2095,2099,5
2099,2140,6
2140,2141,8
2141,2151,6
2151,2160,4
2160,2163,6
2163,2165,0
2165,2169,4
2169,2347,0
2347,2352,5
2352,2354,0
2354,2357,5
2357,2360,0
2360,2378,9
2378,2381,19
2381,2382,9
2382,2383,19
2383,2389,9
2389,2390,19
2390,2405,9
2405,2410,5
2410,2472,0
2472,2474,9
2474,2476,4
2476,2477,5
2477,2482,1
2482,2485,5
2485,2492,6
2492,2511,8
2511,2513,6
2513,2514,5
2514,2515,6
2515,2528,4
2528,2662,0
2662,2666,3
2666,2672,5
2672,2701,16
2701,2703,11
2703,2711,16
2711,2712,5
2712,2713,16
2713,2714,5
2714,2716,16
2716,2719,3
2719,2723,8
2723,2765,0
2765,2813,14
2813,2818,9
2818,2823,5
2823,2827,3
2827,2892,0
2892,2897,5
2897,2898,0
2898,2902,5
2902,2914,18
2914,2919,19
2919,2921,2
2921,2922,1
2922,2923,18
2923,2924,1
2924,2925,2
2925,2926,1
2926,2953,2
2953,2955,7
2955,2958,1
2958,2961,9
2961,2962,19
2962,2965,9
2965,2988,19
2988,3003,5
3003,3061,0
3061,3087,12
3087,3088,10
3088,3096,12
3096,3104,10
3104,3108,0
3108,3110,4
3110,3111,3
3111,3112,0
3112,3115,3
3115,3116,0
3116,3118,3
3118,3121,0
3121,3122,3
3122,3283,0
3283,3284,3
3284,3286,0
3286,3287,3
3287,3291,10
3291,3293,12
3293,3295,9
3295,3296,13
3296,3297,10
3297,3298,9
3298,3299,10
3299,3300,9
3300,3307,1
3307,3314,10
3314,3338,7
3338,3341,14
3341,3342,9
3342,3343,14
3343,3344,9
3344,3358,14
3358,3360,9
3360,3361,4
3361,3362,14
3362,3372,4
3372,3375,3
