start,stop,ID
0,30,0
30,32,13
32,33,11
33,38,1
38,40,7
40,49,8
49,50,5
50,51,3
51,54,5
54,62,3
62,78,14
78,81,9
81,82,14
82,89,1
89,90,2
90,92,1
92,93,14
93,94,1
94,96,14
96,99,2
99,111,13
111,112,11
112,115,1
115,120,7
120,123,2
123,124,9
124,125,14
125,126,7
126,158,14
158,167,9
167,171,5
171,344,0
344,347,12
347,348,0
348,350,1
350,356,12
356,359,11
359,360,8
360,361,6
361,364,11
364,366,12
366,370,11
370,372,7
372,374,6
374,375,7
375,376,3
376,377,6
377,379,7
379,380,3
380,381,6
381,382,10
382,393,3
393,394,13
394,397,4
397,398,1
398,399,4
399,403,1
403,404,6
404,406,1
406,407,8
407,408,3
408,410,6
410,411,3
411,412,6
412,414,0
414,422,3
422,426,6
426,431,4
431,488,0
488,491,3
491,519,9
519,521,0
521,531,9
531,538,3
538,668,0
668,708,14
708,717,9
717,721,5
721,722,3
722,881,0
881,883,5
883,885,9
885,893,0
893,939,9
939,943,3
943,994,0
994,995,13
995,1002,10
1002,1003,13
1003,1006,10
1006,1007,13
1007,1008,10
1008,1009,13
1009,1014,10
1014,1015,13
1015,1022,10
1022,1023,13
1023,1031,10
1031,1038,4
1038,1040,0
1040,1049,3
1049,1102,0
1102,1108,16
1108,1109,15
1109,1110,16
1110,1112,15
1112,1113,16
1113,1114,17
1114,1115,16
1115,1116,17
1116,1117,16
1117,1157,17
1157,1158,15
1158,1164,5
1164,1165,15
1165,1169,5
1169,1342,0
1342,1344,13
1344,1349,1
1349,1351,6
1351,1352,4
1352,1353,15
1353,1355,11
1355,1356,0
1356,1379,8
1379,1383,0
1383,1401,4
1401,1406,0
1406,1409,3
1409,1451,0
1451,1452,11
1452,1458,0
1458,1462,11
1462,1466,13
1466,1473,11
1473,1479,13
1479,1488,11
1488,1495,4
1495,1499,0
1499,1509,3
1509,1564,0
1564,1565,5
1565,1566,3
1566,1567,5
1567,1571,3
1571,1572,5
1572,1574,3
1574,1575,13
1575,1584,16
1584,1589,9
1589,1591,16
1591,1597,13
1597,1600,9
1600,1603,13
1603,1610,9
1610,1612,3
1612,1614,5
1614,1621,3
1621,1665,0
1665,1666,3
1666,1678,0
1678,1679,11
1679,1680,0
1680,1681,11
1681,1689,13
1689,1695,11
1695,1699,13
1699,1700,11
1700,1707,13
1707,1711,11
1711,1712,6
1712,1717,4
1717,1719,0
1719,1731,3
1731,1861,0
1861,1898,12
1898,1899,10
1899,1901,12
1901,1905,4
1905,1907,0
1907,1914,4
1914,1916,0
1916,1918,3
1918,1920,0
1920,1921,3
1921,1951,0
1951,1955,5
1955,1957,0
1957,1958,9
1958,1959,0
1959,1961,5
1961,1965,0
1965,1988,9
1988,1989,18
1989,2021,9
2021,2023,5
2023,2024,0
2024,2025,5
2025,2087,0
2087,2088,5
2088,2089,3
2089,2092,0
2092,2093,9
2093,2098,0
2098,2102,9
2102,2103,19
2103,2109,9
2109,2111,19
2111,2112,15
2112,2114,19
2114,2115,4
2115,2119,19
2119,2120,2
2120,2153,5
2153,2156,0
2156,2157,9
2157,2158,0
2158,2159,9
2159,2160,0
2160,2165,9
2165,2171,4
2171,2172,19
2172,2173,4
2173,2178,0
2178,2183,5
2183,2186,3
2186,2187,5
2187,2224,0
2224,2234,5
2234,2273,15
2273,2283,5
2283,2329,0
2329,2331,12
2331,2333,1
2333,2334,0
2334,2335,1
2335,2338,19
2338,2340,0
2340,2341,6
2341,2347,0
2347,2348,11
2348,2349,6
2349,2350,7
2350,2368,6
2368,2405,0
2405,2421,4
2421,2461,0
2461,2462,3
2462,2473,13
2473,2474,9
2474,2477,13
2477,2478,9
2478,2485,13
2485,2486,9
2486,2487,13
2487,2494,9
2494,2499,10
2499,2526,7
2526,2543,14
2543,2544,3
2544,2545,14
2545,2558,4
2558,2568,3
2568,2652,0
2652,2679,4
2679,2685,0
2685,2686,3
2686,2688,0
2688,2689,3
2689,2759,0
2759,2761,19
2761,2762,18
2762,2778,4
2778,2781,0
2781,2785,4
2785,2787,0
2787,2789,3
2789,2791,8
2791,2792,3
2792,2799,8
2799,2809,0
2809,2821,3
2821,2837,13
2837,2851,4
2851,2852,0
2852,2863,3
2863,2869,0
