start,stop,ID
0,173,0
173,174,3
174,175,0
175,176,3
176,177,0
177,180,3
180,181,13
181,182,3
182,183,11
183,184,3
184,185,11
185,186,13
186,187,11
187,206,13
206,209,11
209,210,13
210,211,11
211,212,4
212,213,10
213,214,4
214,215,10
215,224,4
224,234,3
234,273,0
273,274,3
274,280,0
280,281,10
281,282,0
282,283,10
283,284,0
284,287,10
287,290,9
290,291,10
291,304,9
304,309,10
309,310,13
310,315,10
315,316,9
316,317,10
317,319,9
319,320,0
320,324,10
324,335,3
335,391,0
391,401,5
401,403,0
403,408,18
408,427,19
427,430,18
430,440,19
440,443,18
443,560,0
560,561,3
561,569,0
569,574,8
574,575,13
575,580,1
580,581,4
581,582,1
582,583,6
583,608,8
608,609,6
609,624,4
624,627,0
627,632,3
632,680,0
680,681,10
681,686,12
686,693,10
693,694,12
694,695,10
695,696,13
696,703,10
703,707,12
707,713,10
713,714,12
714,721,10
721,723,12
723,736,7
736,741,10
741,742,12
742,744,10
744,749,9
749,756,14
756,770,4
770,779,3
779,804,0
804,805,3
805,806,0
806,807,3
807,808,0
808,809,3
809,810,0
810,813,3
813,814,11
814,815,3
815,816,11
816,817,3
817,818,12
818,819,13
819,820,12
820,822,11
822,823,13
823,824,11
824,825,13
825,826,11
826,827,13
827,828,11
828,829,13
829,832,11
832,833,13
833,834,11
834,835,13
835,836,11
836,839,13
839,842,11
842,843,13
843,844,11
844,845,13
845,846,11
846,847,13
847,852,10
852,853,11
853,864,4
864,874,3
874,1006,0
1006,1007,13
1007,1008,0
1008,1009,11
1009,1018,0
1018,1019,13
1019,1020,11
1020,1031,13
1031,1033,11
1033,1034,7
1034,1035,11
1035,1036,7
1036,1037,11
1037,1039,7
1039,1040,12
1040,1042,7
1042,1052,14
1052,1064,1
1064,1068,14
1068,1071,7
1071,1075,12
1075,1076,7
1076,1077,14
1077,1078,2
1078,1081,14
1081,1082,2
1082,1084,3
1084,1085,8
1085,1086,7
1086,1090,6
1090,1091,4
1091,1092,6
1092,1093,4
1093,1227,0
1227,1242,18
1242,1243,19
1243,1256,18
1256,1258,19
1258,1260,18
1260,1284,5
1284,1298,18
1298,1299,19
1299,1300,18
1300,1301,19
1301,1314,18
1314,1322,19
1322,1324,18
1324,1325,0
1325,1328,5
1328,1329,0
1329,1330,5
1330,1331,0
1331,1332,5
1332,1454,0
1454,1456,5
1456,1519,15
1519,1542,0
1542,1553,3
1553,1554,10
1554,1555,13
1555,1556,10
1556,1557,13
1557,1558,10
1558,1559,13
1559,1560,10
1560,1561,13
1561,1562,10
1562,1575,13
1575,1576,10
1576,1577,13
1577,1578,10
1578,1579,13
1579,1580,10
1580,1581,13
1581,1591,10
1591,1600,4
1600,1602,10
1602,1614,3
1614,1676,0
1676,1687,3
1687,1693,13
1693,1723,4
1723,1732,3
1732,1780,0
1780,1781,16
1781,1783,0
1783,1798,15
1798,1814,17
1814,1818,15
1818,1828,17
1828,1829,15
1829,1830,17
1830,1835,15
1835,1842,5
1842,1843,15
1843,1846,5
1846,1907,0
1907,1909,11
1909,1920,13
1920,1921,7
1921,1922,11
1922,1927,7
1927,1935,12
1935,1951,1
1951,1963,7
1963,1964,8
1964,1965,7
1965,1966,8
1966,1968,10
1968,1969,7
1969,1970,10
1970,1971,7
1971,1975,6
1975,1976,4
1976,1977,0
1977,1978,4
1978,2014,0
2014,2024,3
2024,2028,13
2028,2054,4
2054,2078,3
2078,2083,13
2083,2109,4
2109,2120,3
2120,2232,0
2232,2233,14
2233,2234,0
2234,2235,12
2235,2236,14
2236,2237,12
2237,2239,14
2239,2240,9
2240,2241,14
2241,2242,9
2242,2243,14
2243,2244,9
2244,2245,14
2245,2246,9
2246,2247,14
2247,2248,9
2248,2257,14
2257,2258,9
2258,2259,14
2259,2260,9
2260,2276,14
2276,2282,9
2282,2284,3
2284,2286,9
2286,2289,3
2289,2290,0
2290,2291,3
2291,2340,0
2340,2345,18
2345,2346,16
2346,2347,18
2347,2349,16
2349,2350,14
2350,2351,18
2351,2352,9
2352,2353,13
2353,2354,9
2354,2355,13
2355,2358,9
2358,2362,2
2362,2363,18
2363,2392,2
2392,2395,10
2395,2398,13
2398,2399,3
2399,2401,9
2401,2404,10
2404,2406,3
2406,2412,14
2412,2421,0
2421,2424,18
2424,2425,0
2425,2426,5
2426,2615,0
2615,2617,5
2617,2620,0
2620,2635,18
2635,2637,19
2637,2656,18
2656,2658,19
2658,2666,18
2666,2717,0
2717,2720,3
2720,2721,0
2721,2722,3
2722,2741,12
2741,2742,13
2742,2743,10
2743,2744,13
2744,2745,12
2745,2746,13
2746,2747,12
2747,2748,13
2748,2749,12
2749,2750,13
2750,2751,12
2751,2752,13
2752,2753,12
2753,2754,13
2754,2758,12
2758,2760,10
2760,2766,12
2766,2767,4
2767,2769,10
2769,2770,12
2770,2771,10
2771,2772,3
2772,2773,4
2773,2784,3
2784,2801,0
2801,2804,16
2804,2805,0
2805,2806,16
2806,2809,5
2809,2810,16
2810,2811,5
2811,2812,16
2812,2813,5
2813,2862,16
2862,2864,4
2864,2866,16
2866,2875,5
2875,2883,3
2883,2884,8
2884,2885,0
