start,stop,ID
0,50,0
50,51,16
51,60,3
60,91,16
91,93,15
93,94,4
94,96,15
96,97,4
97,98,15
98,99,4
99,115,3
115,116,0
116,118,8
118,273,0
273,274,3
274,275,0
275,286,3
286,294,13
294,295,9
295,296,13
296,297,9
297,298,4
298,299,9
299,302,4
302,311,13
311,314,4
314,340,3
340,341,9
341,362,13
362,371,4
371,386,3
386,387,8
387,491,0
491,492,3
492,493,0
493,500,3
500,503,0
503,504,3
504,507,0
507,524,9
524,526,13
526,527,9
527,531,13
531,534,9
534,535,10
535,536,9
536,537,12
537,543,14
543,547,12
547,550,14
550,553,9
553,554,10
554,570,3
570,587,0
587,588,13
588,589,0
589,590,11
590,591,1
591,592,11
592,595,1
595,609,13
609,612,11
612,613,12
613,614,11
614,615,12
615,616,1
616,618,12
618,641,1
641,649,7
649,654,12
654,656,3
656,662,8
662,667,6
667,669,4
669,671,0
671,673,4
673,844,0
844,849,3
849,850,0
850,851,3
851,857,0
857,862,12
862,870,1
870,871,13
871,872,11
872,873,13
873,874,8
874,875,13
875,877,11
877,886,8
886,900,12
900,911,4
911,922,3
922,961,0
961,962,10
962,965,0
965,993,10
993,1012,7
1012,1017,10
1017,1018,14
1018,1019,9
1019,1036,14
1036,1038,10
1038,1042,9
1042,1043,10
1043,1044,9
1044,1049,10
1049,1052,4
1052,1066,3
1066,1105,0
1105,1115,5
1115,1116,0
1116,1126,18
1126,1141,19
1141,1143,18
1143,1153,19
1153,1154,0
1154,1155,18
1155,1156,5
1156,1159,0
1159,1162,5
1162,1206,0
1206,1219,3
1219,1249,13
1249,1262,10
1262,1263,4
1263,1264,10
1264,1270,0
1270,1285,3
1285,1286,0
1286,1287,8
1287,1436,0
1436,1439,11
1439,1440,0
1440,1441,11
1441,1444,1
1444,1449,11
1449,1459,13
1459,1465,11
1465,1469,1
1469,1476,12
1476,1490,14
1490,1498,1
1498,1501,14
1501,1503,7
1503,1506,10
1506,1507,7
1507,1508,10
1508,1512,3
1512,1513,8
1513,1515,7
1515,1517,8
1517,1526,6
1526,1528,4
1528,1533,0
1533,1534,4
1534,1707,0
1707,1708,3
1708,1709,0
1709,1718,3
1718,1719,10
1719,1720,3
1720,1721,0
1721,1724,9
1724,1725,10
1725,1726,9
1726,1727,12
1727,1730,9
1730,1731,10
1731,1732,13
1732,1733,9
1733,1734,13
1734,1739,9
1739,1740,13
1740,1741,9
1741,1742,13
1742,1743,10
1743,1744,9
1744,1745,10
1745,1746,13
1746,1747,10
1747,1748,13
1748,1760,10
1760,1762,12
1762,1763,10
1763,1764,9
1764,1767,10
1767,1768,0
1768,1770,4
1770,1786,3
1786,1810,0
1810,1811,5
1811,1812,0
1812,1815,3
1815,1818,9
1818,1822,0
1822,1873,9
1873,1879,3
1879,1880,0
1880,1885,8
1885,2006,0
2006,2021,3
2021,2031,9
2031,2034,13
2034,2036,9
2036,2045,13
2045,2055,4
2055,2071,3
2071,2117,0
2117,2121,5
2121,2184,15
2184,2312,0
2312,2325,5
2325,2326,0
2326,2341,18
2341,2342,14
2342,2343,9
2343,2344,14
2344,2347,13
2347,2383,2
2383,2387,10
2387,2395,9
2395,2402,14
2402,2410,0
2410,2411,5
2411,2412,0
2412,2414,18
2414,2419,5
2419,2592,0
2592,2604,5
2604,2617,18
2617,2619,19
2619,2636,18
2636,2642,19
2642,2653,18
2653,2657,0
2657,2659,5
2659,2715,0
2715,2728,3
2728,2733,13
2733,2734,9
2734,2758,13
2758,2767,10
2767,2768,9
2768,2771,12
2771,2772,9
2772,2773,12
2773,2778,0
2778,2779,10
2779,2795,3
2795,2797,8
2797,2829,0
2829,2830,16
2830,2849,15
2849,2853,17
2853,2878,15
2878,2883,5
2883,2889,15
2889,3050,0
3050,3051,14
3051,3056,9
3056,3057,14
3057,3058,9
3058,3059,14
3059,3060,9
3060,3061,14
3061,3062,9
3062,3063,14
3063,3064,9
3064,3065,14
3065,3066,9
3066,3069,14
3069,3070,9
3070,3071,14
3071,3072,9
3072,3073,14
3073,3074,9
3074,3089,14
3089,3101,9
3101,3102,3
3102,3104,5
3104,3146,0
3146,3159,5
3159,3165,18
3165,3170,19
3170,3171,18
3171,3176,19
3176,3187,18
3187,3209,5
3209,3213,9
3213,3224,19
3224,3242,18
3242,3247,0
3247,3251,5
3251,3254,0
